Flow_id,device,eth_Type,timeout,bord,nmbr_occ,permanent,priority,input,output,mac_src,mac_dst,ipv4_src,ipv4_dst,ip_proto,port_src,port_dst,flow_duration,total packets,total bytes,tot_forward_pkts,tot_backward_pkts,tot_forward_len_pkts,tot_backward_len_pkts,Pkts_len_mean,Flow Pkts/s,Flow Byts/s,Frd Flow PKts/s,Bwd Flow Pkts/s,Frd Flow Byts/s,Bwd Flow Byts/s,Frd_pkts_max_interval_2s,Frd_pkts_min_interval_2s,Frd_pkts_mean_interval_2s,Frd_pkts_std_interval_2s,Bwd_pkts_max_interval_2s,Bwd_pkts_min_interval_2s,Bwd_pkts_mean_interval_2s,Bwd_pkts_std_interval_2s,Frd_bytes_max_interval_2s,Frd_bytes_min_interval_2s,Frd_bytes_mean_interval_2s,Frd_bytes_std_interval_2s,Bwd_bytes_max_interval_2s,Bwd_bytes_min_interval_2s,Bwd_bytes_mean_interval_2s,Bwd_bytes_std_interval_2s,Idle_Max,Idle_Min,Idle_Mean,Idle_Std,Active_Max,Active_Min,Active_Mean,Active_Std,Total_packets_src,Total_bytes_src,Number_of_flows_src,Total_packets_dst,Total_bytes_dst,Number_of_flows_dst,timestamp
844427636405567,of:0000328dd09ba943,0x800,10,1,1,False,10,1,3,08:00:27:CA:01:42,36:79:DF:4B:CD:6D,192.168.1.25/32,192.168.1.48/32,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,1.0,35269976
844427677241428,of:0000000000000003,0x800,10,1,1,False,10,1,3,36:79:DF:4B:CD:6D,08:00:27:CA:01:42,192.168.1.48/32,192.168.1.25/32,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,1.0,35269683
844426829086894,of:0000000000000001,0x800,10,1,1,False,10,4,3,08:00:27:CA:01:42,36:79:DF:4B:CD:6D,192.168.1.25/32,192.168.1.48/32,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,1.0,35269767
844425193140390,of:0000000000000002,0x800,10,1,1,False,10,3,2,36:79:DF:4B:CD:6D,08:00:27:CA:01:42,192.168.1.48/32,192.168.1.25/32,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,1.0,35269757
844428892881793,of:0000ca7544dc0642,0x800,10,1,1,False,10,4,3,36:79:DF:4B:CD:6D,08:00:27:CA:01:42,192.168.1.48/32,192.168.1.25/32,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,1.0,35270271
844427636405567,of:0000328dd09ba943,0x800,10,0,1,False,10,1,3,08:00:27:CA:01:42,36:79:DF:4B:CD:6D,192.168.1.25/32,192.168.1.48/32,N/A,N/A,N/A,2,4,392,2,2,196,196,98.0,2.0,196.0,1.0,1.0,98.0,98.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,196.0,196.0,196.0,0.0,196.0,196.0,196.0,0.0,0,0,0,0,2000,2000,2000,0,2.0,196.0,1.0,2.0,196.0,1.0,35271977
844427677241428,of:0000000000000003,0x800,10,0,1,False,10,1,3,36:79:DF:4B:CD:6D,08:00:27:CA:01:42,192.168.1.48/32,192.168.1.25/32,N/A,N/A,N/A,2,2,196,1,1,98,98,98.0,1.5,147.0,0.5,1.0,49.0,98.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,98.0,98.0,98.0,0.0,98.0,98.0,98.0,0.0,0,0,0,0,2000,2000,2000,0,1.0,98.0,1.0,1.0,98.0,1.0,35271683
844425126915203,of:0000000000000001,0x800,10,0,1,False,10,2,4,0A:70:77:7B:D0:1D,08:00:27:2B:93:DE,192.168.1.46/32,192.168.1.36/32,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,1.0,35271767
844426829086894,of:0000000000000001,0x800,10,0,1,False,10,4,3,08:00:27:CA:01:42,36:79:DF:4B:CD:6D,192.168.1.25/32,192.168.1.48/32,N/A,N/A,N/A,2,2,196,1,1,98,98,98.0,1.0,98.0,0.5,0.5,49.0,49.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,98.0,98.0,98.0,0.0,98.0,98.0,98.0,0.0,0,0,0,0,2000,2000,2000,0,1.0,98.0,1.0,1.0,98.0,1.0,35271767
844425193140390,of:0000000000000002,0x800,10,0,1,False,10,3,2,36:79:DF:4B:CD:6D,08:00:27:CA:01:42,192.168.1.48/32,192.168.1.25/32,N/A,N/A,N/A,2,2,196,1,1,98,98,98.0,1.0,98.0,0.5,0.5,49.0,49.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,98.0,98.0,98.0,0.0,98.0,98.0,98.0,0.0,0,0,0,0,2000,2000,2000,0,1.0,98.0,1.0,1.0,98.0,1.0,35271757
